# Position_x_cm,Flux_phi
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.627594915810941145e-04
2.000000000000000111e-01,9.255592231113497683e-04
3.000000000000000444e-01,1.388439438052310780e-03
4.000000000000000222e-01,1.851440386857450141e-03
5.000000000000000000e-01,2.314602330478837677e-03
6.000000000000000888e-01,2.777965543868092784e-03
7.000000000000000666e-01,3.241570319478553463e-03
8.000000000000000444e-01,3.705456970768968884e-03
9.000000000000000222e-01,4.169665835709016229e-03
1.000000000000000000e+00,4.634237280286951886e-03
1.100000000000000089e+00,5.099211702019694308e-03
1.200000000000000178e+00,5.564629533465655087e-03
1.300000000000000044e+00,6.030531245740613187e-03
1.400000000000000133e+00,6.496957352036938915e-03
1.500000000000000000e+00,6.963948411146485100e-03
1.600000000000000089e+00,7.431545030987435178e-03
1.700000000000000178e+00,7.899787872135426506e-03
1.800000000000000044e+00,8.368717651359254203e-03
1.900000000000000133e+00,8.838375145161461721e-03
2.000000000000000000e+00,9.308801193324117360e-03
2.100000000000000089e+00,9.780036702460104606e-03
2.200000000000000178e+00,1.025212264957021599e-02
2.300000000000000266e+00,1.072510008560637745e-02
2.400000000000000355e+00,1.119901013904128599e-02
2.500000000000000000e+00,1.167389401944480404e-02
2.600000000000000089e+00,1.214979302106740204e-02
2.700000000000000178e+00,1.262674852643096320e-02
2.800000000000000266e+00,1.310480200992725393e-02
2.900000000000000355e+00,1.358399504142440879e-02
3.000000000000000000e+00,1.406436928988168654e-02
3.100000000000000089e+00,1.454596652697286510e-02
3.200000000000000178e+00,1.502882863071856347e-02
3.300000000000000266e+00,1.551299758912780095e-02
3.400000000000000355e+00,1.599851550384913390e-02
3.500000000000000000e+00,1.648542459383166986e-02
3.600000000000000089e+00,1.697376719899627850e-02
3.700000000000000178e+00,1.746358578391731670e-02
3.800000000000000266e+00,1.795492294151521812e-02
3.900000000000000355e+00,1.844782139676020769e-02
4.000000000000000000e+00,1.894232401038752067e-02
4.100000000000000533e+00,1.943847378262443179e-02
4.200000000000000178e+00,1.993631385692939267e-02
4.299999999999999822e+00,2.043588752374364895e-02
4.400000000000000355e+00,2.093723822425562139e-02
4.500000000000000000e+00,2.144040955417839817e-02
4.600000000000000533e+00,2.194544526754066416e-02
4.700000000000000178e+00,2.245238928049141103e-02
4.800000000000000711e+00,2.296128567511871929e-02
4.900000000000000355e+00,2.347217870328299066e-02
5.000000000000000000e+00,2.398511279046493597e-02
5.100000000000000533e+00,2.450013253962865858e-02
5.200000000000000178e+00,2.501728273510017350e-02
5.300000000000000711e+00,2.553660834646169150e-02
5.400000000000000355e+00,2.605815453246202937e-02
5.500000000000000000e+00,2.658196664494345135e-02
5.600000000000000533e+00,2.710809023278529933e-02
5.700000000000000178e+00,2.763657104586477939e-02
5.800000000000000711e+00,2.816745503903519618e-02
